center: (325.0, 475.0), radius_x: 275.0, radius_y: 125.0, count: 463, B: 216.44697635660665, logLR = 123.35789197166866
center: (325.0, 475.0), radius_x: 275.0, radius_y: 175.0, count: 581, B: 303.0257668992493, logLR = 124.29568364414817
center: (325.0, 475.0), radius_x: 325.0, radius_y: 125.0, count: 565, B: 255.8009720578079, logLR = 167.6548401560949
center: (325.0, 475.0), radius_x: 325.0, radius_y: 175.0, count: 678, B: 358.1213608809311, logLR = 146.2139514708997
center: (325.0, 475.0), radius_x: 325.0, radius_y: 225.0, count: 772, B: 460.4417497040542, logLR = 121.2356591468922
center: (325.0, 525.0), radius_x: 275.0, radius_y: 75.0, count: 429, B: 129.86818581396398, logLR = 238.76509415544035
center: (325.0, 525.0), radius_x: 275.0, radius_y: 125.0, count: 526, B: 216.44697635660665, logLR = 186.0283646183915
center: (325.0, 525.0), radius_x: 275.0, radius_y: 175.0, count: 599, B: 303.0257668992493, logLR = 139.6167555780578
center: (325.0, 525.0), radius_x: 325.0, radius_y: 75.0, count: 526, B: 153.48058323468473, logLR = 315.69223389229114
center: (325.0, 525.0), radius_x: 325.0, radius_y: 125.0, count: 600, B: 255.8009720578079, logLR = 203.6981674234325
center: (325.0, 525.0), radius_x: 325.0, radius_y: 175.0, count: 681, B: 358.1213608809311, logLR = 148.78756618949274
center: (325.0, 575.0), radius_x: 275.0, radius_y: 125.0, count: 471, B: 216.44697635660665, logLR = 130.7185239653586
center: (325.0, 575.0), radius_x: 325.0, radius_y: 125.0, count: 565, B: 255.8009720578079, logLR = 167.6548401560949
center: (325.0, 575.0), radius_x: 325.0, radius_y: 175.0, count: 672, B: 358.1213608809311, logLR = 141.1269662016066
center: (375.0, 425.0), radius_x: 275.0, radius_y: 175.0, count: 587, B: 303.0257668992493, logLR = 129.31612474960815
center: (375.0, 425.0), radius_x: 275.0, radius_y: 225.0, count: 694, B: 389.6045574418919, logLR = 126.99137422098812
center: (375.0, 425.0), radius_x: 325.0, radius_y: 175.0, count: 671, B: 358.1213608809311, logLR = 140.28696370076239
center: (375.0, 425.0), radius_x: 375.0, radius_y: 175.0, count: 721, B: 413.2169548626127, logLR = 125.5005643023481
center: (375.0, 475.0), radius_x: 225.0, radius_y: 125.0, count: 448, B: 177.09298065540546, logLR = 166.06196427340305
center: (375.0, 475.0), radius_x: 225.0, radius_y: 175.0, count: 529, B: 247.9301729175676, logLR = 143.64251566695998
center: (375.0, 475.0), radius_x: 225.0, radius_y: 225.0, count: 597, B: 318.76736517972984, logLR = 120.72182956800447
center: (375.0, 475.0), radius_x: 275.0, radius_y: 75.0, count: 346, B: 129.86818581396398, logLR = 135.89863487275096
center: (375.0, 475.0), radius_x: 275.0, radius_y: 125.0, count: 545, B: 216.44697635660665, logLR = 206.9765793365409
center: (375.0, 475.0), radius_x: 275.0, radius_y: 175.0, count: 623, B: 303.0257668992493, logLR = 161.24312536416306
center: (375.0, 475.0), radius_x: 275.0, radius_y: 225.0, count: 696, B: 389.6045574418919, logLR = 128.5686162294379
center: (375.0, 475.0), radius_x: 325.0, radius_y: 75.0, count: 393, B: 153.48058323468473, logLR = 146.21901062981738
center: (375.0, 475.0), radius_x: 325.0, radius_y: 125.0, count: 596, B: 255.8009720578079, logLR = 199.42950268091994
center: (375.0, 475.0), radius_x: 325.0, radius_y: 175.0, count: 681, B: 358.1213608809311, logLR = 148.78756618949274
center: (375.0, 475.0), radius_x: 375.0, radius_y: 75.0, count: 425, B: 177.09298065540546, logLR = 141.7914495904159
center: (375.0, 475.0), radius_x: 375.0, radius_y: 125.0, count: 622, B: 295.1549677590091, logLR = 170.30519069298742
center: (375.0, 475.0), radius_x: 375.0, radius_y: 175.0, count: 714, B: 413.2169548626127, logLR = 120.15083350097382
center: (375.0, 525.0), radius_x: 175.0, radius_y: 75.0, count: 295, B: 82.64339097252255, logLR = 175.21317243441806
center: (375.0, 525.0), radius_x: 175.0, radius_y: 125.0, count: 357, B: 137.73898495420423, logLR = 134.16091646243103
center: (375.0, 525.0), radius_x: 225.0, radius_y: 75.0, count: 422, B: 106.25578839324326, logLR = 294.13333212194453
center: (375.0, 525.0), radius_x: 225.0, radius_y: 125.0, count: 489, B: 177.09298065540546, logLR = 213.06616474835005
